S.no,Post,Likes
0,"https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=AfaEW2Ueet9dM8KSiv0kHdyTUf9tw9OBvpKOvPJnCDEXbop7XYfw07Gly17-cHVaidY&__tn__=%2AW&paipv=0
","0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfaLQK_r7DLhcEdmIpxvhm3COeSa1r_7KEIUvOn5bzREN9RsXCGsKga9ou36Q5c5Abo
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=Afa383wn-8pBad0ueEc3jiW7iWLrgixmxS3Uwcvj4FoQuWUs39LgeEczCcgLHqr2SNw&paipv=0
 2 All 58: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&total_count=58&paipv=0&eav=AfaAQI-4Icn-NFmCRqthJ-SZ5KZALV-qmMGkdULuYXvTySebW5TIlVRw_ub5U73w2cc
 3 56: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=56&paipv=0&eav=AfY6Y0GD7tsn4STxVBHIT4QZ-_klQT_hv52bPSrEtBxPJMpmdc6H6MeTS_V6szilrhs
 4 2: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=2&reaction_id=1678524932434102&total_count=2&paipv=0&eav=AfZ8LmxZ0HF6Hf4e-5ouJzfGIdJHNxn9UbY5Gq4GlN4ay2V0yaZT271QhndyxWxP69Q
 5 Sammy Sammy: https://mbasic.facebook.com/profile.php?id=100085195632273&eav=AfZk4VM3Oyxt-ABD9WzDxVBJvCeEiOOMHn6rfXKeoCt1Xms5QSST8TChNtt_Lwcs4S4&paipv=0
 6 Aditya Prajapati: https://mbasic.facebook.com/profile.php?id=100082166785407&eav=AfYA8uq1kAQ4Kf50Y1xx9P8A39RztCS6SUIb8DbPJlUa2l9UeKaSG_jcbgeycdv3IG4&paipv=0
 7 Md Shahwaz: https://mbasic.facebook.com/profile.php?id=100071738796077&eav=AfbVlInYIwnFo25rIQ0YF3afaQSVEr4HKP4CI98bAV1SCPZdZj7Gy9_oc07BD4Aam4M&paipv=0
 8 Umar Hanif: https://mbasic.facebook.com/profile.php?id=100058955112711&eav=AfYDHDpPD4tMmLygR3mRYM9ZrausxFsgC7aAFHDPRgVJkTOPDIdW81aO1OUHIhQHPMI&paipv=0
 9 Aadarsh Yadav: https://mbasic.facebook.com/profile.php?id=100056222178000&eav=AfbCcXLtQ_pMjclEuBQw3D3LNAL4pp-ME2ONHaj9F6UyEMyPjwIEpAPYY5wJrdJ7Se0&paipv=0
 10 Sahil Shah: https://mbasic.facebook.com/profile.php?id=100055555385047&eav=AfYLsp1ZUmiIsxue2lw_EtVnCR5KB0pvTeww2duTTHBS4AOttKGvbThDgMXEMQBgkcE&paipv=0
 11 Lucky Gupta: https://mbasic.facebook.com/profile.php?id=100041870852174&eav=AfaeQPd7FRGkwNPKEQAPMndIDb1WdCRZET6Z6m4rV4RCWkby23dtloTABTviPgQEKd8&paipv=0
 12 Raj Jadhav: https://mbasic.facebook.com/profile.php?id=100012271483518&eav=AfZ79AEYl4b_Rnqai0qYiybRI3xSNTrh3Gt3SMp2iTILsDBnUP7Z2TrRHTg39z_YVLM&paipv=0
 13 Parth Gharat: https://mbasic.facebook.com/profile.php?id=100009450540939&eav=AfakeGlZNjF9U-Mh7PVyN9TaJJHjrRQLvD0AZzFJoriVuFlBVf3ENWKDvQ-Kkb08oQM&paipv=0
 14 Samadhan Savale: https://mbasic.facebook.com/profile.php?id=100004907791769&eav=AfbZ8fzQa4CDVpcScsRmjPQ8z2U5bNJQGQ_xSpr4LcxEY0Oy23WfELtpNBVATizkB6I&paipv=0
 15 Sunil Shinde: https://mbasic.facebook.com/profile.php?id=100004117683991&eav=AfZZLwgJtJys3EKtthH02V3Vv0YJCgTGF5FYKcn8hKsNfYSoBbaYuOb0n7i8G6rosJc&paipv=0
 16 See more: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&shown_ids=100085195632273%2C100082166785407%2C100071738796077%2C100064877906759%2C100058955112711%2C100056222178000%2C100055555385047%2C100052072952286%2C100050134091283%2C100049678211006%2C100048124866053%2C100047889820032%2C100041870852174%2C100030482283418%2C100021863833185%2C100015137050050%2C100013556197500%2C100013412440901%2C100012271483518%2C100010663891775%2C100010471992199%2C100009685269163%2C100009450540939%2C100008085339373%2C100007911727718%2C100007483290729%2C100005117110496%2C100004907791769%2C100004834721905%2C100004117683991%2C100004036301269%2C100003705405753%2C100003612004507%2C100003067338612%2C100002882918312%2C100002647548120%2C100002522413454%2C100002394292106%2C100002199917764%2C100002193416171%2C100002178969163%2C100002077402673%2C100001987366515%2C100001368664664%2C100001289234249%2C100001283277575%2C100001206584155%2C100001116687510%2C100000799595350&total_count=56&paipv=0&eav=AfZ3X-8ArO4G9u3yl40t3p6zSvZRLLTVnqVO0x97yVxK5tXwHTMJ6kPgRPOJeVpN0LY
"
1,"https://mbasic.facebook.com/story.php?story_fbid=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&id=100064098211170&eav=AfYyb4PxslqeSzrCBm58rbtga1JXao5id8mw_5BElu89zihJXmVtbH_HHXRIAlbDvYE&__tn__=%2AW&paipv=0
","0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfaEMDq6aNehHwT8w-zv2gqvB4lVU7bso9Ao85vars0tj9DSkfHVhKGaWKm7cHWsyHA
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&id=100064098211170&eav=AfYs2NJDD9V6giLZjKp2imiAv9DxlWzTOo-KygItfScrm4Bgu39d_v5hQgGK2u8PWug&paipv=0
 2 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=1&paipv=0&eav=AfbwpyncdqT8jnrzotMyU52solQ-FwtIIoEKAMoXfElYgcIhl9fVuI7MMvnQaeRJzrU
"
2,"https://mbasic.facebook.com/story.php?story_fbid=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&id=100064098211170&eav=AfYyb4PxslqeSzrCBm58rbtga1JXao5id8mw_5BElu89zihJXmVtbH_HHXRIAlbDvYE&__tn__=%2As&paipv=0
","0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfaIg5I0-soKsSfWExzlaQgcU0mqAt0U-31dIvkapfgc5WXg-BsaNOPYvBassnKw4uQ
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&id=100064098211170&eav=AfYt9iGJvu4MEcifWpwQAqdWztL4UlyjmEKIa1UcwNCJQJYUFWq5LHBnrF5HEdp_GaE&paipv=0
 2 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=1&paipv=0&eav=AfbpMVoBM_ePRcJPFXhaC5Z55mGzSOFGhQ5j_3DfifQIAsvDW5iBxaeGgCaEQZKnzYA
"
3,"https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=AfaEW2Ueet9dM8KSiv0kHdyTUf9tw9OBvpKOvPJnCDEXbop7XYfw07Gly17-cHVaidY&__tn__=%2AW&paipv=0#footer_action_list
","0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfbBp0Ex5KoWdKpLTR31DCctWbXG0KJEFfoqGNDjN1MI4Pc6IVnIr67NgcJt4vcggG4
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=AfY7cijkRpoHxSSbBoSrkdtnFMIRWNCHpKKfzVj7TWalWoPms-0vwXWLLTmpPmblrMk&paipv=0
 2 All 58: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&total_count=58&paipv=0&eav=AfasDb4TiAz_HyUzhbkVVYZnqsM74bckXSxhe_9v3tUlhROJ2KA51Ute4wWLU_5tU50
 3 56: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=56&paipv=0&eav=AfZENnYTUuaHltBK1_vxFQ1rzX9E2_x06E8pkeeO2OV0PAsDQxv7YJr6NOZRL7iApPQ
 4 2: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=2&reaction_id=1678524932434102&total_count=2&paipv=0&eav=AfZjUB0sdKvy0JOPxIArpYLdjYxq9g03yjxcWKKKt-omOwOQzkviRD-QlQnmrjbtfqg
 5 Sammy Sammy: https://mbasic.facebook.com/profile.php?id=100085195632273&eav=AfZFP5P-1axfkDz6G_pI-i_V02NTiHmYxIKL10-PTfywu-nONh1cXxyzaMESAjeWibM&paipv=0
 6 Aditya Prajapati: https://mbasic.facebook.com/profile.php?id=100082166785407&eav=AfbQMyZp0QIz3CiAqXnoksQEHOvYjYMzZt_dedqq1EWfUgSOiojUioxJ_ZsSwLZnc5M&paipv=0
 7 Md Shahwaz: https://mbasic.facebook.com/profile.php?id=100071738796077&eav=AfZBfE3MblO4dNeC2jRdfm2CNIGvU2Zqth-JbY0mj9j42XBzbTAWF3IpcgPIeqm6jXg&paipv=0
 8 Umar Hanif: https://mbasic.facebook.com/profile.php?id=100058955112711&eav=AfaDcZIs5mc91_1a9sdZViERFklAtcrCTVE-at-Bc_9e-CJhjmTKbav2TbGnJhdqQYM&paipv=0
 9 Aadarsh Yadav: https://mbasic.facebook.com/profile.php?id=100056222178000&eav=AfY7tcpkWPZ_YwH_HNC0nzVk-Xmv_g-oJ2RYwOi4pYRB8fzODIoDeLydx5VlXZg1uls&paipv=0
 10 Sahil Shah: https://mbasic.facebook.com/profile.php?id=100055555385047&eav=AfYOPk8PgZ6FLN1PuzxVi3ZYC6eLjPnkeCWLHC9hs-7FJMFUA9fWrPSEo_hqETsEn6w&paipv=0
 11 Lucky Gupta: https://mbasic.facebook.com/profile.php?id=100041870852174&eav=AfYD0MXX4t667eS1K37AWqATzgf3uO_Gnn_LggaNm7WFAO0aUx5x5LV4F-6ky8so180&paipv=0
 12 Raj Jadhav: https://mbasic.facebook.com/profile.php?id=100012271483518&eav=AfbLEVKI779KElGz007DkAmGsMmhdzKru1YuheO6UJ771jcY3E2RNd1YjyiVuHCcRqU&paipv=0
 13 Parth Gharat: https://mbasic.facebook.com/profile.php?id=100009450540939&eav=Afa3Z4ZxZfXmwF7wJDpCqA33xeG3BK4qOkuAToZBBA5OLo3-AaocMBEs6ysNN44wkFo&paipv=0
 14 Samadhan Savale: https://mbasic.facebook.com/profile.php?id=100004907791769&eav=AfZYNm0jTDSeKK_NqRl6WlZ3hpWmcv0Sm3Wt6Yfp67zAQ4-gDasjOgxzFnQoQX6LW70&paipv=0
 15 Sunil Shinde: https://mbasic.facebook.com/profile.php?id=100004117683991&eav=AfbSyevJX2DFTxlSExgVs-ZDeRszTVljCKranQ0VAt1XKqar4drR_fpcR9n4LLEAYA8&paipv=0
 16 See more: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&shown_ids=100085195632273%2C100082166785407%2C100071738796077%2C100064877906759%2C100058955112711%2C100056222178000%2C100055555385047%2C100052072952286%2C100050134091283%2C100049678211006%2C100048124866053%2C100047889820032%2C100041870852174%2C100030482283418%2C100021863833185%2C100015137050050%2C100013556197500%2C100013412440901%2C100012271483518%2C100010663891775%2C100010471992199%2C100009685269163%2C100009450540939%2C100008085339373%2C100007911727718%2C100007483290729%2C100005117110496%2C100004907791769%2C100004834721905%2C100004117683991%2C100004036301269%2C100003705405753%2C100003612004507%2C100003067338612%2C100002882918312%2C100002647548120%2C100002522413454%2C100002394292106%2C100002199917764%2C100002193416171%2C100002178969163%2C100002077402673%2C100001987366515%2C100001368664664%2C100001289234249%2C100001283277575%2C100001206584155%2C100001116687510%2C100000799595350&total_count=56&paipv=0&eav=AfaFq2Zx5nCwqinUsE4ZuChp4VxIWXVIUfYXLv63-w9AKH8kv8KaOAK1kqsTaN-grDY
"
4,"https://mbasic.facebook.com/story.php?story_fbid=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&id=100064098211170&eav=AfYyb4PxslqeSzrCBm58rbtga1JXao5id8mw_5BElu89zihJXmVtbH_HHXRIAlbDvYE&__tn__=%2AW&paipv=0#footer_action_list
","0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfaYAA0pLICz9AAD2jBatPeKe8nmpX0DdubpuykaWq8_yAVpye6k3wp43ooxYuqWvrQ
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&id=100064098211170&eav=Afbo77Kg7JDc3EC6TJMoqpVw2qHnztAzI856YVosh9gz6X09OnJQbT-QQkSsiT9drRM&paipv=0
 2 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0Hx28mK2TFK5Cku2CJiTB8AsuY9T4yzEBgRhbPSVf4kfZVrNiMX1thZpvvr1uZWFml&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=1&paipv=0&eav=AfbM2cHn-FyoM-eE6epj8eLbZ3q0mg_UCMRa3V84pSrNEVFNfBrGczGfaXQ1pvLfd64
"
